,created_at,text,coordinates
71,2013-12-26 19:51:56+00:00,The parking lot that is #I70 sucks! C'mon #cdot clear this wreck already. It's been 3 hrs.,"[-105.55301537, 39.75161475]"
72,2013-12-28 04:20:03+00:00,“@dailycamera: Frasca operators to close neighboring Caffé restaurant  http://t.co/oity3M0LWl via @dc_alicia  #boulder” NNNOOOO @gnip,"[-105.27086936, 40.02236439]"
73,2013-12-28 20:39:48+00:00,"Last day in Colorado. Great hike, run, movie, and shopping with the #family Enjoying the final hours in the mountain sunshine. #Boulder","[-105.32662519, 40.02051174]"
74,2013-12-27 22:39:24+00:00,Gone climbing! #rockclimbing #climb #boulder #buffalo @ Niagara Climbing Center http://t.co/AIS04ixo7i,"[-78.8370645, 43.05771009]"
75,2013-12-28 00:37:10+00:00,Lunchtime ride today! #60degrees #Boulder http://t.co/lE8L8ozyXT,"[-105.28524017, 40.03395412]"
76,2013-12-26 23:31:58+00:00,"Everything you want to know about #Boulder, #Colorado here! http://t.co/XXlEkc5rrE","[-105.21426, 40.049733]"
77,2013-12-24 16:23:39+00:00,More beauty over #Boulder @BoulderCVB Stunning! RT @jwehman: Beautiful http://t.co/feztND75hH,"[-105.27839524, 40.00246153]"
78,2013-12-26 01:14:48+00:00,#Boulder #CO #mountain @ Chautauqua Park http://t.co/pNVoDSOnKW,"[-105.28241933, 39.99876656]"
79,2013-12-25 22:18:23+00:00,#christmashike #boulder #hogback @ High Point Of Hogback Ridge Loop http://t.co/LwlfYORSr2,"[-105.29824696, 40.07504634]"
80,2013-12-25 05:58:41+00:00,Merry Christmas from the #Boulder Star! #christmaseve #colorado #citylights @ The Star http://t.co/RB7UoPHKRr,"[-105.29469719, 40.00632974]"
81,2013-12-26 02:52:51+00:00,@tvod2 Merry Christmas from #Boulder! http://t.co/GuHmGVaaw6,"[-105.28062593, 40.04124101]"
82,2013-12-26 14:36:06+00:00,#boulder #colorado #sunrise of the day! @ Holiday NOBO Neighborhood http://t.co/geAHNxjvf4,"[-105.2721456, 40.05706955]"
83,2013-12-24 17:53:07+00:00,"Finally got home,  fun weekend in #boulder!  Got some hard routes at #thespot @a3bars @SMXOPTICS 
(Trystan spotting) http://t.co/bKMDYJEJHl","[-108.7205303, 39.1754077]"
84,2013-12-24 19:48:36+00:00,#boulder hike @ Dakota Ridge Trail http://t.co/0M2BQg7vMn,"[-105.29717445, 40.03472864]"
85,2013-12-24 23:13:37+00:00,#Boulder #downtown. #CO #USA #Colorado #tourist #tourism @ Pearl Street Mall http://t.co/ewqMPY5Qnk,"[-105.27828119, 40.01817355]"
86,2013-12-25 05:38:11+00:00,#Boulder in progress. http://t.co/TNIMrE9d3w,"[-116.99851396, 46.72830876]"
87,2013-12-24 22:34:52+00:00,Ready to preach this Christmas Eve! #Boulder join us tonight at 5pm. Casey Middle School.… http://t.co/RgEoc7btCT,"[-105.27920532, 40.02312469]"
88,2013-12-25 19:46:21+00:00,Merry Christmas #Boulder we love you! http://t.co/UkkJxAleKc,"[-108.71995521, 39.17641482]"
89,2013-12-24 17:57:12+00:00,Last minute #Boulder Xmas shopping. And the sun is shining again. Whoop!,"[-105.25744918, 40.01568426]"
90,2013-12-24 16:31:07+00:00,Used windsurfing/sailing techniques to ride my bike crosswind this morning. #boulder #windy #ingenious,"[-105.2572, 40.028546]"
91,2013-12-26 16:17:25+00:00,"“New Years, Moneypenny: The James Bond Ball at the Boulderado - http://t.co/DOOrZ0TjZQ”.  New Idea @JLSmith121 #newyears #Boulder","[-75.59901244, 40.50013369]"
92,2013-12-24 22:38:07+00:00,Mmm...Foeder Project #1 from @Boulevard_Beer on tap at @BCPTaphouse1 #Boulder #craftbeer,"[-105.26381917, 40.01503785]"
93,2013-12-24 22:11:37+00:00,"""Get your #apps on."" @ #Google. #Boulder #CO #USA #Colorado @ Google http://t.co/lji9C1RYUT","[-105.26046088, 40.0214392]"
94,2013-12-26 16:10:34+00:00,"""@zlhunter: Sunrise over @breckenridgemtn #perfect #snow #COWX #sunrise http://t.co/wZydt7zTLr"" wow!","[-106.0209868, 39.4813338]"
95,2013-12-24 19:47:33+00:00,#boulder Christmas Eve hike @ Mount Sanitas Summit http://t.co/hBWGMwH930,"[-105.30527097, 40.034365]"
96,2013-12-25 16:26:42+00:00,Laura's Christmas sour cream coffee cake #boulder #breakfast @ laura's kitchen http://t.co/UnPjRTtJty,"[-76.66519928, 38.70811462]"
97,2013-12-25 23:47:22+00:00,"Los Iron Flats en #Boulder, #CO #USA. #Colorado #mountain #montaña #climbing #nature #landscape @… http://t.co/ztoazaUusr","[-105.29682933, 40.00158008]"
98,2013-12-25 20:48:18+00:00,Quite a change in scenery from NYC #boulder #home @ Wonderland Lake Park http://t.co/DTytNRC7LF,"[-105.28807801, 40.04802613]"
99,2013-12-24 22:15:51+00:00,Pray for Claire Davis's family. #coloradostrong 💛💙❤️ Keep them in your prayers. http://t.co/4BBhppb5ZG,"[-104.99054541, 39.55551967]"
100,2013-12-24 21:53:14+00:00,"@MattMakens247Wx HaHaHa ""Doggie Kites"" Makens me laugh!  Merry Christmas🎅  #cowx #inwx #miwx","[-86.6230715, 41.795339]"
101,2013-12-24 10:19:11+00:00,final routh for #MBPJ #International #Climbing #Competiton #Boulder #Indonesia #Thailand #Singapore… http://t.co/UH5PlG27n4,"[101.64505184, 3.09913739]"
102,2013-12-23 09:35:52+00:00,Overnight snow band heavier in the tech center not near as much in SE #Aurora with stars already out as skies clear. #cowx,"[-104.74497882, 39.63865313]"
103,2013-12-22 23:53:27+00:00,#boulder #colorado #skyscape (another) of the day! @ Holiday NOBO Neighborhood http://t.co/zCiD0hxiMp,"[-105.2721456, 40.05706955]"
104,2013-12-24 04:28:25+00:00,Looking for spots in the Boulders Stadium earlier with these Gs. #boulder #colorado #OnTheProwl #skateboarding http://t.co/NM606WXs2O,"[-105.2640656, 40.0163524]"
105,2013-12-22 23:03:41+00:00,Home alone watching the sun set with  @RedstoneMeadery juniper #mead on the porch. #Boulder winter afternoons rock http://t.co/ac7ZDxuWqQ,"[-105.27532746, 40.02788111]"
106,2013-12-24 01:09:54+00:00,#boulder #colorado #sunset #skyscape and #cloudporn of the day! (Sunset was an amazing multicolored… http://t.co/yk93NgDvNf,"[-105.2721456, 40.05706955]"
107,2013-12-22 16:46:07+00:00,“@dailycamera: Here's where to find #Boulder County's best holiday lights http://t.co/dzqweZ4lQT http://t.co/BPc1o1xnrj” @JamesKroeker,"[-105.28200427, 40.00258547]"
108,2013-12-22 17:23:22+00:00,Seen yesterday in #Boulder. Merry Christmas! (And can't believe I was so apathetic about the terrible #punctuation!) http://t.co/uBYuTylXjL,"[-105.25456847, 40.03116188]"
109,2013-12-22 17:46:53+00:00,#COLORADOstrong #warriors #RIPClaireDavis 🙏 @ Arapahoe High School http://t.co/JkSSP5K4Ui,"[-104.96398114, 39.58144542]"
110,2013-12-23 14:55:49+00:00,Any body there?! #instaweather #castlerock #fog #cowx #colorado @ The Meadows http://t.co/2NtX16b8co,"[-104.910746, 39.405729]"
111,2013-12-23 11:12:19+00:00,I notice @google and @bing have offices in #Boulder.,"[-105.20737902, 40.00596631]"
112,2013-12-23 11:09:20+00:00,@damsidemill @eyeply2000 #Boulder is funky yuppy. Your car would fit in nicely.,"[-105.20736909, 40.00619614]"
113,2013-12-23 11:06:15+00:00,Slight time adjustment between #Boulder and #Yorkshire. I've been waking at 3am. Great time to read tho.,"[-105.20750871, 40.00598787]"
114,2013-12-23 21:21:22+00:00,There WAS a bike path here #COfloods #colorado365 #didntstopme @ Adams county regional park http://t.co/TXF4jYscpy,"[-104.8711416, 39.92694066]"
115,2013-12-22 23:38:58+00:00,#boulder #colorado #skyscape of the day! @ Holiday NOBO Neighborhood http://t.co/XXY2FmQWif,"[-105.2721456, 40.05706955]"
116,2013-12-23 18:41:39+00:00,#boulder @ Boulder Transit Center http://t.co/5ALMkXyWGo,"[-105.27666092, 40.01722933]"
117,2013-12-23 22:00:04+00:00,#Boulder http://t.co/SOJqYuhZdJ,"[-105.28086404, 40.03214799]"
118,2013-12-22 16:50:25+00:00,At least one of my employee loves me and has been paying attention #redbull #christmas #boulder @ Work http://t.co/WCL6f3O5xH,"[-105.22646333, 40.03703883]"
119,2013-12-24 00:59:40+00:00,#boulder #colorado #sunset of the day! @ Holiday NOBO Neighborhood http://t.co/CDtE8Da5Pm,"[-105.2721456, 40.05706955]"
120,2013-12-24 03:08:51+00:00,@ReneeReview Gotta love These Lenticular clouds!  @BoulderCVB Stunning! RT @MrJAPBiology #Boulder #Longmont http://t.co/nXpNmh6ETK @Colorado,"[-105.27841536, 40.00242591]"
121,2013-12-23 01:26:33+00:00,Gingerbread haus a la Garrisons of #Boulder.  Happy Christmas! http://t.co/raj797h3Oe,"[-105.20745138, 40.00585996]"
122,2013-12-23 22:44:50+00:00,#boulder #colorado #mountain and #sunset of the day! @ Ideal Market http://t.co/8Kb9ryK2AS,"[-105.280934, 40.0258786]"
123,2013-12-23 20:42:24+00:00,#boulder #colorado #mountain pict of the day! @ Verlo Mattress Factory Stores Boulder http://t.co/uC265I5LKe,"[-105.25238579, 40.02880157]"
124,2013-12-23 07:28:43+00:00,Surprise white #Christmas in #Colorado!  #COwx #ftcollins http://t.co/8K7c5IAR16,"[-105.0172969, 40.7084813]"
125,2013-12-23 21:20:54+00:00,Cold ride up #flagstaff today #cycling #Boulder http://t.co/BJpIBhhon6,"[-105.24927588, 40.01597625]"
126,2013-12-23 14:52:54+00:00,Another addiction in #boulder #donuts #awesome @ Dizzy's Donuts http://t.co/RuaCz5G01r,"[-105.22728289, 40.01524029]"
127,2013-12-23 20:06:46+00:00,“@_rcz_: There are way too many bowls....” No such thing brah #420 #boulder #blazeup #bowlsonbowlsonbowls,"[-104.88838971, 39.53439333]"
128,2013-12-21 15:05:44+00:00,CU #Boulder http://t.co/vyux3pqAYM,"[-105.20610541, 40.08638717]"
129,2013-12-22 01:56:30+00:00,"Our loss...heavens gain
You were a true warrior⚫️💛
#RIPClaire #ColoradoStrong","[-81.74677269, 26.13056756]"
130,2013-12-22 00:31:55+00:00,Rest in paradise Claire❤️ Heaven gained a beautiful angel #coloradostrong #ForeverAHero,"[-104.80959529, 39.36192335]"
131,2013-12-21 23:31:49+00:00,thank you so much for the #coloradostrong shirt! 💪👌❤️💛🌁,"[-105.02940961, 39.87084489]"
132,2013-12-22 03:21:30+00:00,Rest easy Claire Davis 💜💛 #ColoradoStrong,"[-77.99574307, 39.50078056]"
133,2013-12-22 14:06:36+00:00,Freezing my entire body off hoping for a good mountain sun rise #boulder #photography http://t.co/YFK5rV4UqF,"[-105.23340929, 39.98628964]"
134,2013-12-22 13:02:11+00:00,"POWDER ALERT: 3"" @SkiPowderhorn in Mesa, @Colorado #GJCO #COwx","[-108.4411683, 39.0871221]"
135,2013-12-22 02:04:44+00:00,rest in peace Claire! your in a better place now💜 #ColoradoStrong #ArapahoeStrong,"[-117.13814389, 33.01678984]"
136,2013-12-22 01:01:49+00:00,Albarracin no defrauda con un monton de bloques en el bolsillo #zarrio buen guia #climbing #boulder #CojonudoDia,"[-1.2164872, 41.7896928]"
137,2013-12-22 00:53:10+00:00,RIP Claire Davis #coloradostrong #warriorspirit,"[-104.86342679, 39.62060776]"
138,2013-12-22 00:56:51+00:00,Rest in peace Claire💛 you truly are a hero #ColoradoStrong http://t.co/JwDeSazltY,"[-104.77498535, 39.43280561]"
139,2013-12-22 00:34:27+00:00,RIP Claire Davis! My prayers go out to your family!💛🙏👼 Heaven gained a beautiful angel💛 #coloradostrong #ripclairedavis,"[-105.02945728, 39.87090351]"
140,2013-12-22 03:23:39+00:00,Final Malaysia Open category #boulder #competition #PJInternationalFair @ Menara MBPJ (MBPJ Tower) http://t.co/Pe79ppEHvC,"[101.64505184, 3.09913739]"
141,2013-12-22 00:31:29+00:00,So heartbreaking that an innocent girl had to lose her life because of someone so selfish. Rest in peace Claire. #ColoradoStrong 💙,"[-105.07132453, 39.87730478]"
142,2013-12-21 15:25:48+00:00,Good morning. #WinterSolstice #cowx http://t.co/0CPXHkoN6O,"[-104.91556687, 40.45264594]"
143,2013-12-22 12:07:30+00:00,Kundalini before daybreak in #Boulder CO. I'm reminded the days are getting longer now ; 0 ),"[-105.20759321, 40.00588517]"
144,2013-12-22 14:35:06+00:00,Ever tried one of our 2 in 1's?! Leggings and a cute skirt in one!  #athleta #semi #anual #SALE #boulder http://t.co/YrjBFQ5uTZ,"[-105.24943667, 40.03425902]"
145,2013-12-22 04:00:32+00:00,Rest in paradise Claire💛⚫️ You brought our whole community together #coloradostrong,"[-104.7689698, 39.44029629]"
146,2013-12-22 04:35:52+00:00,“@DenverPolice: #ArapahoeHigh #ColoradoStrong http://t.co/weCNif5j6f”,"[-87.93213981, 42.37948071]"
147,2013-12-21 23:01:02+00:00,"Look at a map for #Boulder, #Colorado here! http://t.co/mVvspvV69v","[-105.27041, 40.01551]"
148,2013-12-22 01:55:44+00:00,Let go and let god #RIPClaireDavis #coloradostrong @prayforclaired,"[-104.92658259, 39.66856528]"
149,2013-12-22 05:13:51+00:00,Route observation for final international open category. #boulder #competition #PJInternationalFair… http://t.co/XuZOMASVE2,"[101.64505184, 3.09913739]"
150,2013-12-22 00:48:05+00:00,RIP Claire Davis 💛😢 #ColoradoStrong #RIPClaireDavis,"[-104.95425789, 39.65697376]"
151,2013-12-22 05:29:41+00:00,#RIPClaireDavis #coloradostrong,"[-105.03626345, 39.87414946]"
152,2013-12-22 01:46:51+00:00,Rest in paradise Claire.. 😰👼 #prayforarapahoe #ripclairedavis #coloradostrong,"[-104.97753175, 39.94294413]"
153,2013-12-21 21:33:40+00:00,#boulder @emmabellexox http://t.co/8KnoRzsekx,"[-104.88820036, 39.5901132]"
154,2013-12-22 00:57:14+00:00,RIP Claire Davis. Praying for all of her friends and family #ColoradoStrong 💛,"[-84.3035074, 34.14990408]"
155,2013-12-21 13:48:41+00:00,First day MTB-ing since #Boulder!! Gorgeous 1st winter day! Truly been missing my #baby http://t.co/s1HGmTDrVa,"[2.8373737, 41.9963977]"
156,2013-12-20 23:18:24+00:00,"Everything you want to know about #Boulder, #Colorado here! http://t.co/GBjTRcNMqz","[-105.27038, 40.01506]"
157,2013-12-20 17:02:08+00:00,EC #warehouseSale starts today #cycling cyclocross #boulder #triathlon #ironman #Denver #FrontRange @… http://t.co/8xv8kLM7zE,"[-105.12950974, 39.99993479]"
158,2013-12-20 15:53:38+00:00,#WarfForPrincipal RT“@dailycamera: #Boulder High Principal Kevin Braney to leave at end of school year http://t.co/jLiEPieBo1 via @boundsa”,"[-105.28748767, 40.01293888]"
159,2013-12-21 04:41:39+00:00,Low winter sun #flatirons #rockies #sunset #winter #boulder #colorado #cuboulder @ Engineering Center… http://t.co/NUhwOTXyiP,"[-105.26349557, 40.00712387]"
160,2013-12-21 14:25:30+00:00,Rise and shine! It's ski and snowboard time.  This mornings sunrise captured by Patrick McNally. #cowx… http://t.co/sUA1LNVNmi,"[-105.96948624, 39.60724217]"
161,2013-12-21 08:10:44+00:00,Qualifying round for 'International Open' category #boulder #competition #PJInternationalFair… http://t.co/7JhvjxRnS8,"[101.64505184, 3.09913739]"
162,2013-12-21 06:48:04+00:00,https://t.co/aikWI35vpu #skateboarding #boulder #colorado #newspot,"[-104.9795722, 39.6329414]"
163,2013-12-20 22:30:32+00:00,Beautiful #snowrun on #boco_Trails snow contrast separating the din #Chautauqua @ Chautauqua Park http://t.co/ai8ymiNbmq,"[-105.28241933, 39.99876656]"
164,2013-12-21 03:40:39+00:00,Take moments to yourself daily. #blessed #boulder #colorado @ Pearl Street Mall http://t.co/p8WfWeBOFU,"[-105.27828119, 40.01817355]"
